date,actual_state,close,forecast
2025-03-01,51.9,51.4,51.7
2025-02-01,51.4,51.0,51.8
2025-01-01,51.0,52.2,51.8
2024-12-01,52.2,51.5,51.9
2024-11-01,51.5,52.0,52.1
2024-10-01,52.0,50.3,52.2
2024-09-01,50.3,51.6,52.3
2024-08-01,51.6,52.1,52.4
2024-07-01,52.1,51.2,51.4
2024-06-01,51.2,54.0,53.5
2024-05-01,54.0,52.5,52.6
2024-04-01,52.5,52.7,52.6
2024-03-01,52.7,52.5,51.2
2024-02-01,52.5,52.7,51.9
2024-01-01,52.7,52.9,54.2
2023-12-01,52.9,51.5,50.9
2023-11-01,51.5,50.4,50.3
2023-10-01,50.4,50.2,51.0
2023-09-01,50.2,51.8,52.9
2023-08-01,51.8,54.1,54.0
2023-07-01,54.1,53.9,55.5
2023-06-01,53.9,57.1,56.8
2023-05-01,57.1,56.4,57.1
2023-04-01,56.4,57.8,56.5
2023-03-01,57.8,55.0,54.0
2023-02-01,55.0,52.9,50.5
2023-01-01,52.9,48.0,47.3
2022-12-01,48.0,46.7,47.5
2022-11-01,46.7,48.4,48.8
2022-10-01,48.4,49.3,52.1
2022-09-01,49.3,55.0,55.3
2022-08-01,55.0,55.5,55.0
2022-07-01,55.5,54.5,48.0
2022-06-01,54.5,41.4,47.3
2022-05-01,41.4,36.2,47.3
2022-04-01,36.2,42.0,52.8
2022-03-01,42.0,50.2,53.0
2022-02-01,50.2,51.4,53.0
2022-01-01,51.4,53.1,52.9
2021-12-01,53.1,52.1,52.7
2021-11-01,52.1,53.8,52.4
2021-10-01,53.8,53.4,50.7
2021-09-01,53.4,46.7,50.7
2021-08-01,46.7,54.9,52.6
2021-07-01,54.9,50.3,52.7
2021-06-01,50.3,55.1,55.7
2021-05-01,55.1,56.3,55.4
2021-04-01,56.3,54.3,52.9
2021-03-01,54.3,51.5,51.7
2021-02-01,51.5,52.0,54.1
2021-01-01,52.0,56.3,51.1
2020-12-01,56.3,57.8,51.0
2020-11-01,57.8,56.8,50.7
2020-10-01,56.8,54.8,50.6
2020-09-01,54.8,54.0,50.7
2020-08-01,54.0,54.1,50.4
2020-07-01,54.1,58.4,56.8
2020-06-01,58.4,55.0,49.9
2020-05-01,55.0,44.4,50.3
2020-04-01,44.4,43.0,51.0
2020-03-01,43.0,26.5,51.6
2020-02-01,26.5,51.8,52.6
2020-01-01,51.8,52.5,52.6
2019-12-01,52.5,53.5,52.7
2019-11-01,53.5,51.1,52.7
2019-10-01,51.1,51.3,52.8
2019-09-01,51.3,52.1,52.9
2019-08-01,52.1,51.6,52.9
2019-07-01,51.6,52.0,52.9
2019-06-01,52.0,52.7,53.0
2019-05-01,52.7,54.5,54.5
2019-04-01,54.5,54.4,52.8
2019-03-01,54.4,51.1,52.3
2019-02-01,51.1,53.6,53.8
2019-01-01,53.6,53.9,55.3
2018-12-01,53.9,53.8,55.2
2018-11-01,53.8,50.8,51.9
2018-10-01,50.8,53.1,52.3
2018-09-01,53.1,51.5,52.1
2018-08-01,51.5,52.8,53.5
2018-07-01,52.8,53.9,54.7
2018-06-01,53.9,52.9,52.5
2018-05-01,52.9,52.9,52.1
2018-04-01,52.9,52.3,53.4
2018-03-01,52.3,54.2,
2018-02-01,54.2,54.7,
2018-01-01,54.7,53.9,
2017-12-01,53.9,51.9,
2017-11-01,51.9,51.2,
2017-10-01,51.2,50.6,
2017-09-01,50.6,52.7,
2017-08-01,52.7,51.5,
2017-07-01,51.5,51.6,
2017-06-01,51.6,52.8,
2017-05-01,52.8,51.5,
2017-04-01,51.5,52.2,
2017-03-01,52.2,52.6,
2017-02-01,52.6,53.1,
2017-01-01,53.1,53.4,
2016-12-01,53.4,53.1,
2016-11-01,53.1,52.4,
2016-10-01,52.4,52.0,
2016-09-01,52.0,52.1,
2016-08-01,52.1,51.7,
2016-07-01,51.7,52.7,
2016-06-01,52.7,51.2,
2016-05-01,51.2,51.8,
2016-04-01,51.8,52.2,
2016-03-01,52.2,51.2,
2016-02-01,51.2,52.4,
2016-01-01,52.4,50.2,
2015-12-01,50.2,51.2,
2015-11-01,51.2,52.0,
2015-10-01,52.0,50.5,
2015-09-01,50.5,51.5,
2015-08-01,51.5,53.8,
2015-07-01,53.8,51.8,
2015-06-01,51.8,53.5,
2015-05-01,53.5,52.9,
2015-04-01,52.9,52.3,
2015-03-01,52.3,52.0,
2015-02-01,52.0,51.8,
2015-01-01,51.8,53.4,
2014-12-01,53.4,53.0,
2014-11-01,53.0,52.9,
2014-10-01,52.9,53.5,
2014-09-01,53.5,54.1,
2014-08-01,54.1,50.0,
2014-07-01,50.0,53.1,
2014-06-01,53.1,50.7,
2014-05-01,50.7,51.4,
2014-04-01,51.4,51.9,
2014-03-01,51.9,51.0,
2014-02-01,51.0,50.7,
2014-01-01,50.7,50.9,
2013-12-01,50.9,52.5,
2013-11-01,52.5,52.6,
2013-10-01,52.6,52.4,
2013-09-01,52.4,52.8,
2013-08-01,52.8,51.3,
2013-07-01,51.3,51.3,
2013-06-01,51.3,51.2,
2013-05-01,51.2,51.1,
2013-04-01,51.1,54.3,
2013-03-01,54.3,52.1,
2013-02-01,52.1,54.0,
2013-01-01,54.0,51.7,
2012-12-01,51.7,52.1,
2012-11-01,52.1,53.5,
2012-10-01,53.5,54.3,
