date,close,open,high,low,volume
1991-01-01,5.2352,5.2352,5.2352,5.2352,0
1991-02-01,5.2352,5.2352,5.2352,5.2352,0
1991-03-01,5.2352,5.2352,5.2352,5.2352,0
1991-04-01,5.3036,5.3036,5.3036,5.3036,0
1991-05-01,5.349,5.349,5.349,5.349,0
1991-06-01,5.369,5.369,5.369,5.369,0
1991-07-01,5.3605,5.3605,5.3605,5.3605,0
1991-08-01,5.3862,5.3862,5.3862,5.3862,0
1991-09-01,5.3899,5.3899,5.3899,5.3899,0
1991-10-01,5.3944,5.3944,5.3944,5.3944,0
1991-11-01,5.4115,5.4115,5.4115,5.4115,0
1991-12-01,5.4478,5.4478,5.4478,5.4478,0
1992-01-01,5.4686,5.4686,5.4686,5.4686,0
1992-02-01,5.4693,5.4693,5.4693,5.4693,0
1992-03-01,5.4675,5.4675,5.4675,5.4675,0
1992-04-01,5.5101,5.5101,5.5101,5.5101,0
1992-05-01,5.4911,5.4911,5.4911,5.4911,0
1992-06-01,5.4621,5.4621,5.4621,5.4621,0
1992-07-01,5.42,5.42,5.42,5.42,0
1992-08-01,5.4064,5.4064,5.4064,5.4064,0
1992-09-01,5.5002,5.5002,5.5002,5.5002,0
1992-10-01,5.5525,5.5525,5.5525,5.5525,0
1992-11-01,5.7198,5.7198,5.7198,5.7198,0
1992-12-01,5.7518,5.7518,5.7518,5.7518,0
1993-01-01,5.775,5.775,5.775,5.775,0
1993-02-01,5.7402,5.7402,5.7402,5.7402,0
1993-03-01,5.719,5.719,5.719,5.719,0
1993-04-01,5.7084,5.7084,5.7084,5.7084,0
1993-05-01,5.729,5.729,5.729,5.729,0
1993-06-01,5.7612,5.7612,5.7612,5.7612,0
1993-07-01,5.7612,5.7612,5.7612,5.7612,0
1993-08-01,5.7883,5.7883,5.7883,5.7883,0
1993-09-01,5.7868,5.7868,5.7868,5.7868,0
1993-10-01,5.7941,5.7941,5.7941,5.7941,0
1993-11-01,5.8122,5.8122,5.8122,5.8122,0
1993-12-01,5.8,5.8,5.8,5.8,0
1994-01-01,8.7,8.7,8.7,8.7,0
1994-02-01,8.7055,8.7055,8.7055,8.7055,0
1994-03-01,8.708,8.708,8.708,8.708,0
1994-04-01,8.7072,8.7072,8.7072,8.7072,0
1994-05-01,8.6596,8.6596,8.6596,8.6596,0
1994-06-01,8.6517,8.6517,8.6517,8.6517,0
1994-07-01,8.6197,8.6197,8.6197,8.6197,0
1994-08-01,8.5591,8.5591,8.5591,8.5591,0
1994-09-01,8.53,8.53,8.53,8.53,0
1994-10-01,8.526,8.526,8.526,8.526,0
1994-11-01,8.509,8.509,8.509,8.509,0
1994-12-01,8.4462,8.4462,8.4462,8.4462,0
1995-01-01,8.4384,8.4384,8.4384,8.4384,0
1995-02-01,8.4311,8.4311,8.4311,8.4311,0
1995-03-01,8.4264,8.4264,8.4264,8.4264,0
1995-04-01,8.4074,8.4074,8.4074,8.4074,0
1995-05-01,8.3055,8.3055,8.3055,8.3055,0
1995-06-01,8.3011,8.3011,8.3011,8.3011,0
1995-07-01,8.3003,8.3003,8.3003,8.3003,0
1995-08-01,8.3198,8.3198,8.3198,8.3198,0
1995-09-01,8.3185,8.3185,8.3185,8.3185,0
1995-10-01,8.3149,8.3149,8.3149,8.3149,0
1995-11-01,8.3116,8.3116,8.3116,8.3116,0
1995-12-01,8.3174,8.3174,8.3174,8.3174,0
1996-01-01,8.3138,8.3138,8.3138,8.3138,0
1996-02-01,8.3211,8.3211,8.3211,8.3211,0
1996-03-01,8.3338,8.3338,8.3338,8.3338,0
1996-04-01,8.3301,8.3301,8.3301,8.3301,0
1996-05-01,8.3255,8.3255,8.3255,8.3255,0
1996-06-01,8.3221,8.3221,8.3221,8.3221,0
1996-07-01,8.3107,8.3107,8.3107,8.3107,0
1996-08-01,8.3063,8.3063,8.3063,8.3063,0
1996-09-01,8.3017,8.3017,8.3017,8.3017,0
1996-10-01,8.3,8.3,8.3,8.3,0
1996-11-01,8.3012,8.3012,8.3012,8.3012,0
1996-12-01,8.2984,8.2984,8.2984,8.2984,0
1997-01-01,8.2934,8.2934,8.2934,8.2934,0
1997-02-01,8.2954,8.2954,8.2954,8.2954,0
1997-03-01,8.2955,8.2955,8.2955,8.2955,0
1997-04-01,8.2945,8.2945,8.2945,8.2945,0
1997-05-01,8.2921,8.2921,8.2921,8.2921,0
1997-06-01,8.2907,8.2907,8.2907,8.2907,0
1997-07-01,8.2903,8.2903,8.2903,8.2903,0
1997-08-01,8.2884,8.2884,8.2884,8.2884,0
1997-09-01,8.2849,8.2849,8.2849,8.2849,0
1997-10-01,8.2834,8.2834,8.2834,8.2834,0
1997-11-01,8.2796,8.2796,8.2796,8.2796,0
1997-12-01,8.2796,8.2796,8.2796,8.2796,0
1998-01-01,8.2785,8.2785,8.2785,8.2785,0
1998-02-01,8.2789,8.2789,8.2789,8.2789,0
1998-03-01,8.2793,8.2793,8.2793,8.2793,0
1998-04-01,8.2779,8.2779,8.2779,8.2779,0
1998-05-01,8.2793,8.2793,8.2793,8.2793,0
1998-06-01,8.2797,8.2797,8.2797,8.2797,0
1998-07-01,8.2799,8.2799,8.2799,8.2799,0
1998-08-01,8.28,8.28,8.28,8.28,0
1998-09-01,8.278,8.278,8.278,8.278,0
1998-10-01,8.2778,8.2778,8.2778,8.2778,0
1998-11-01,8.2782,8.2782,8.2782,8.2782,0
1998-12-01,8.2789,8.2789,8.2789,8.2789,0
1999-01-01,8.2778,8.2778,8.2778,8.2778,0
1999-02-01,8.279,8.279,8.279,8.279,0
1999-03-01,8.28,8.28,8.28,8.28,0
